repo_full_name,stars,forks,language,created_at,top1_share,gini_contrib,bus_factor_proxy_k50,scorecard_score,governance_artifact_score,governance_index,external_contributor_ratio,transparency_index,contributor_count,vuln_total,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_severe,has_severe_vuln,log_stars
django/django,86710.0,33636.0,Python,2012-04-28T02:47:18Z,0.1246531483457844,0.7116008537886873,7.0,7.0,0.6,0.6599999999999999,0.82,0.9361702127659576,100.0,263,78,56,2,0,134,1,11.370336028999896
pallets/flask,71144.0,16696.0,Python,2010-04-06T11:11:59Z,0.3917100694444444,0.8548394097222223,2.0,6.0,0.0,0.36,0.98,0.9894355791962176,99.0,7,3,0,1,0,3,1,11.172475326979791
psf/requests,53721.0,9731.0,Python,2011-02-13T18:38:17Z,0.3973645137342242,0.8517780252412769,2.0,8.6,1.0,0.916,0.93,0.9717050827423168,99.0,12,1,4,1,0,5,1,10.891577880026055
fastapi/fastapi,94899.0,8653.0,Python,2018-12-08T08:21:47Z,0.550761421319797,0.8345290468133107,1.0,5.6,0.6,0.24,0.45,0.8049645390070922,100.0,3,2,0,0,0,2,1,11.46057898459802
encode/httpx,14974.0,1030.0,Python,2019-04-04T12:27:00Z,0.5178181818181818,0.8440218181818182,1.0,6.0,0.4,0.52,1.0,0.9965277777777778,99.0,2,1,0,0,0,1,1,9.61413742298365
tornadoweb/tornado,22442.0,5544.0,Python,2009-09-09T04:55:16Z,0.790759662372279,0.8890137716570413,1.0,7.0,0.2,0.5,1.0,1.0,100.0,11,3,4,0,0,7,1,10.018734040540515
aio-libs/aiohttp,16256.0,2187.0,Python,2013-10-01T23:04:01Z,0.3726181482414169,0.8832812893477714,2.0,7.2,0.6,0.6719999999999999,0.71,0.8971631205673759,100.0,31,9,19,0,0,28,1,9.696278864234223
bottlepy/bottle,8743.0,1492.0,Python,2009-06-30T17:51:30Z,0.7784398699891658,0.887421451787649,1.0,3.8,0.2,0.308,0.85,0.9433362884160758,99.0,8,3,1,0,0,4,1,9.076123029856374
Kludex/starlette,11902.0,1113.0,Python,2018-06-25T13:16:21Z,0.338038632986627,0.8038335809806836,2.0,5.6,0.2,0.08,1.0,1.0,100.0,7,2,3,0,0,5,1,9.38454574816788
benoitc/gunicorn,10427.0,1810.0,Python,2009-11-30T18:18:08Z,0.5221297836938436,0.8591514143094843,1.0,5.9,0.6,0.5940000000000001,0.69,0.8761820330969267,96.0,4,3,0,0,0,3,1,9.252249775053391
Kludex/uvicorn,10375.0,906.0,Python,2017-05-31T13:13:43Z,0.3825554705432287,0.8556006120887528,2.0,5.6,0.0,0.0,1.0,1.0,100.0,4,2,0,0,0,2,1,9.24725072599628
pallets/werkzeug,6840.0,1761.0,Python,2010-10-18T11:42:40Z,0.3332089552238806,0.8884925373134328,2.0,6.1,0.0,0.366,0.85,0.946808510638298,100.0,19,6,6,1,0,12,1,8.830689198760998
falconry/falcon,9796.0,979.0,Python,2012-12-06T18:17:51Z,0.3192346424974824,0.8569284994964754,3.0,5.3,0.4,0.478,0.56,0.8300827423167849,96.0,0,0,0,0,0,0,0,9.189831495344642
sanic-org/sanic,18637.0,1583.0,Python,2016-05-26T04:38:22Z,0.2071320182094082,0.7662974203338392,4.0,5.3,1.0,0.718,0.9,0.9610667848699764,99.0,0,0,0,0,0,0,0,9.8329577863456
pallets/quart,3591.0,193.0,Python,2017-11-10T20:10:33Z,0.810671256454389,0.8838037865748709,1.0,5.6,0.2,0.08,0.92,0.9681589834515368,99.0,1,1,0,0,0,1,1,8.18646442942209
flask-restful/flask-restful,6931.0,1045.0,Python,2012-10-12T00:08:51Z,0.1537467700258397,0.7039018087855297,5.0,4.1,0.2,0.3259999999999999,1.0,0.9965277777777778,99.0,0,0,0,0,0,0,0,8.843903650835497
graphql-python/graphene,8244.0,821.0,Python,2015-09-24T09:18:18Z,0.6640811455847255,0.8669451073985681,1.0,4.8,0.2,0.368,0.68,0.8865248226950356,100.0,0,0,0,0,0,0,0,9.0173622349937
encode/django-rest-framework,29863.0,7064.0,Python,2011-03-02T17:13:56Z,0.5637653317570563,0.8219698537017881,1.0,6.3,0.6,0.618,0.98,0.9929078014184396,100.0,3,0,2,0,0,2,1,10.30440902059442
strawberry-graphql/strawberry,4607.0,609.0,Python,2018-12-21T08:56:55Z,0.2826149015129888,0.8647701969740222,2.0,5.4,0.2,0.404,0.48,0.8156028368794326,100.0,3,1,1,1,0,2,1,8.435549202375727
numpy/numpy,31403.0,12029.0,Python,2010-09-13T23:02:39Z,0.203242781965581,0.7237715829896174,6.0,7.2,0.2,0.512,0.46,0.8085106382978724,100.0,16,3,2,3,0,5,1,10.354690552318148
scipy/scipy,14436.0,5610.0,Python,2011-03-09T18:52:03Z,0.1324750563244287,0.6429584808496942,8.0,6.7,0.6,0.642,0.48,0.8156028368794326,100.0,4,0,1,0,0,1,1,9.577549634629817
matplotlib/matplotlib,22318.0,8181.0,Python,2011-02-19T03:17:12Z,0.1435309832404566,0.7918166259679001,5.0,8.3,0.8,0.8180000000000001,0.42,0.7943262411347517,100.0,0,0,0,0,0,0,0,10.013193612624184
pandas-dev/pandas,47834.0,19626.0,Python,2010-08-24T01:37:33Z,0.1692726963038664,0.7560412195537387,5.0,6.4,0.2,0.464,0.99,0.9929816784869976,99.0,1,0,0,0,0,0,0,10.775512868112267
scikit-learn/scikit-learn,64953.0,26670.0,Python,2010-08-17T09:43:38Z,0.0987349583461894,0.6661778771983955,9.0,9.5,0.8,0.89,0.43,0.797872340425532,100.0,6,2,1,1,0,3,1,11.081434606037671
statsmodels/statsmodels,11233.0,3321.0,Python,2011-06-12T17:04:50Z,0.2519354415431046,0.8722424878624853,3.0,5.4,0.0,0.324,0.21,0.7198581560283688,100.0,0,0,0,0,0,0,0,9.326700173092378
mwaskom/seaborn,13711.0,2079.0,Python,2012-06-18T18:41:19Z,0.8466453674121406,0.9290926517571884,1.0,5.7,0.4,0.502,0.42,0.7873817966903073,98.0,0,0,0,0,0,0,0,9.52602664083756
dmlc/xgboost,27980.0,8844.0,C++,2014-02-06T17:28:03Z,0.2698956993856265,0.8524689241320189,2.0,6.4,0.4,0.544,0.28,0.7412086288416077,99.0,0,0,0,0,0,0,0,10.239280987394974
tensorflow/tensorflow,193660.0,75218.0,C++,2015-11-07T01:19:20Z,0.4766687644220684,0.6176544577302286,3.0,7.3,0.8,0.758,0.95,0.9822695035460992,100.0,676,116,134,178,0,250,1,12.17386448684113
catboost/catboost,8792.0,1260.0,C++,2017-07-18T05:29:04Z,0.3306395648183385,0.7901495377314142,3.0,4.5,0.4,0.43,0.98,0.9859633569739952,98.0,0,0,0,0,0,0,0,9.081711229379
microsoft/LightGBM,18072.0,3982.0,C++,2016-08-05T05:45:50Z,0.2566647759500851,0.8671752694271129,2.0,6.2,0.8,0.6920000000000001,0.87,0.950428486997636,99.0,2,2,0,0,0,2,1,9.802174390835638
huggingface/tokenizers,10455.0,1030.0,Rust,2019-11-01T17:52:20Z,0.5411826821541711,0.902312565997888,1.0,5.0,0.0,0.3,0.35,0.7695035460992908,100.0,0,0,0,0,0,0,0,9.254931255304058
Lightning-AI/pytorch-lightning,30814.0,3669.0,Python,2019-03-31T00:45:57Z,0.2411472354524746,0.8162062538827916,3.0,5.5,0.8,0.6500000000000001,0.89,0.9505762411347516,97.0,6,3,1,0,0,4,1,10.335756863396345
huggingface/transformers,156224.0,31994.0,Python,2018-10-29T13:56:00Z,0.0915707291253142,0.657082175466455,9.0,4.5,0.6,0.51,0.92,0.9716312056737588,100.0,26,9,14,3,0,23,1,11.959052554797282
huggingface/datasets,21173.0,3093.0,Python,2020-03-26T09:23:22Z,0.3220486111111111,0.7742592592592592,2.0,5.8,0.6,0.588,0.69,0.8900709219858155,100.0,0,0,0,0,0,0,0,9.960529292903326
huggingface/safetensors,3615.0,293.0,Python,2022-09-22T14:54:51Z,0.6639566395663956,0.7789445950015056,1.0,5.6,0.0,0.0,0.8,0.831855791962175,72.0,0,0,0,0,0,0,0,8.193123721512068
huggingface/accelerate,9486.0,1283.0,Python,2020-10-30T13:27:12Z,0.346583850931677,0.7866211180124223,2.0,6.1,0.4,0.526,0.43,0.797872340425532,100.0,0,0,0,0,0,0,0,9.157677719392876
keras-team/keras,63755.0,19688.0,Python,2015-03-28T00:35:42Z,0.4230103806228373,0.7444939446366782,3.0,7.7,0.4,0.622,0.99,0.99645390070922,100.0,11,9,2,0,0,11,1,11.062818576238945
huggingface/huggingface_hub,3317.0,928.0,Python,2020-12-22T10:20:28Z,0.3781818181818182,0.7931688311688312,3.0,6.2,0.4,0.532,0.57,0.847517730496454,100.0,0,0,0,0,0,0,0,8.10711747075039
google-deepmind/optax,2176.0,313.0,Python,2020-06-12T15:45:35Z,0.0830542531815137,0.6381982585398527,10.0,5.6,0.2,0.08,1.0,1.0,100.0,0,0,0,0,0,0,0,7.685703061234547
google/flax,7064.0,787.0,Jupyter Notebook,2020-01-10T09:48:37Z,0.1262083780880773,0.747593984962406,6.0,6.5,0.0,0.39,0.67,0.8829787234042553,100.0,0,0,0,0,0,0,0,8.862908295118627
jax-ml/jax,34816.0,3409.0,Python,2018-10-25T21:25:02Z,0.1358287893075314,0.7692103644787011,5.0,5.6,0.2,0.08,0.25,0.7340425531914893,100.0,0,0,0,0,0,0,0,10.457861052229603
modin-project/modin,10357.0,673.0,Python,2018-06-21T21:35:05Z,0.2310469314079422,0.8477092221857565,3.0,4.8,0.4,0.448,0.07,0.6667405437352246,99.0,0,0,0,0,0,0,0,9.245514446983837
dask/dask,13733.0,1842.0,Python,2015-01-04T18:50:00Z,0.3422027618726844,0.8116436510609633,3.0,6.0,0.2,0.44,0.06,0.6666666666666666,100.0,1,0,0,0,0,0,0,9.527629789180622
pola-rs/polars,37344.0,2603.0,Rust,2020-05-13T19:45:33Z,0.4491677912730544,0.8634053081421503,2.0,6.4,1.0,0.784,0.25,0.7340425531914893,100.0,0,0,0,0,0,0,0,10.527954312791168
jupyter/notebook,12933.0,5589.0,Jupyter Notebook,2015-04-09T06:58:03Z,0.2331240188383045,0.831624803767661,4.0,4.3,0.2,0.338,0.8,0.9290780141843972,100.0,29,4,13,0,0,17,1,9.46761478200654
