repo_full_name,package_name,osv_id,severity_class,severity_raw,published,fix_version,fix_date,time_to_fix_days,is_fixed,aliases,duration_days,severity_missing
psf/requests,requests,GHSA-652x-xj99-gmcc,high,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N,2022-05-14T02:09:22Z,2.3.0,2014-05-16 17:57:05.539691+00:00,-2919.3418571795023,1,CVE-2014-1830;PYSEC-2014-14,-2919.3418571795023,0
psf/requests,requests,GHSA-9hjg-9r4m-mvj7,high,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:N/A:N,2025-06-09T19:06:08Z,2.32.4,2025-06-09 16:43:05.728107+00:00,-0.0993318506134259,1,CVE-2024-47081,-0.0993318506134259,0
psf/requests,requests,GHSA-9wx4-h78v-vm56,medium,CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:N,2024-05-20T20:15:00Z,2.32.0,2024-05-20 16:08:19.530618+00:00,-0.1713017289583333,1,CVE-2024-35195,-0.1713017289583333,0
psf/requests,requests,GHSA-cfj3-7x9c-4p3h,high,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,2022-05-17T03:49:35Z,2.3.0,2014-05-16 17:57:05.539691+00:00,-2922.41145208691,1,CVE-2014-1829;PYSEC-2014-13,-2922.41145208691,0
psf/requests,requests,GHSA-j8r2-6x86-q33q,high,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:C/C:H/I:N/A:N,2023-05-22T20:36:32Z,2.31.0,2023-05-22 15:12:42.313790+00:00,-0.2248806274305555,1,CVE-2023-32681;PYSEC-2023-74,-0.2248806274305555,0
psf/requests,requests,GHSA-pg2w-x9wp-vw92,unknown,,2022-05-13T01:11:23Z,2.6.0,2015-03-14 16:44:37.146829+00:00,-2616.351919596887,1,CVE-2015-2296;PYSEC-2015-17,-2616.351919596887,1
psf/requests,requests,GHSA-x84v-xcm2-53pg,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2018-10-29T19:06:46Z,2.20.0,2018-10-18 15:46:10.776819+00:00,-11.139296564594908,1,CVE-2018-18074;PYSEC-2018-28,-11.139296564594908,0
psf/requests,requests,PYSEC-2014-13,unknown,,2014-10-15T14:55:00Z,2.3.0,2014-05-16 17:57:05.539691+00:00,-151.87354699431714,1,CVE-2014-1829;GHSA-cfj3-7x9c-4p3h,-151.87354699431714,1
psf/requests,requests,PYSEC-2014-14,unknown,,2014-10-15T14:55:00Z,2.3.0,2014-05-16 17:57:05.539691+00:00,-151.87354699431714,1,CVE-2014-1830;GHSA-652x-xj99-gmcc,-151.87354699431714,1
psf/requests,requests,PYSEC-2015-17,unknown,,2015-03-18T16:59:00Z,3bd8afbff29e50b38f889b2f688785a669b9aafc,,,0,CVE-2015-2296;GHSA-pg2w-x9wp-vw92,3988.938327785058,1
psf/requests,requests,PYSEC-2018-28,unknown,,2018-10-09T17:29:00Z,c45d7c49ea75133e52ab22a8e9e13173938e36ff,,,0,CVE-2018-18074;GHSA-x84v-xcm2-53pg,2687.9174944517245,1
psf/requests,requests,PYSEC-2023-74,unknown,,2023-05-26T18:15:00Z,74ea7cf7a6a27a4eeb2ae24e162bcc942a6706d5,,,0,CVE-2023-32681;GHSA-j8r2-6x86-q33q,997.88555000728,1
pallets/flask,flask,GHSA-4grg-w6v8-c28g,medium,CVSS:4.0/AV:L/AC:L/AT:P/PR:H/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,2025-05-13T20:25:26Z,3.1.1,2025-05-13 15:01:15.591997+00:00,-0.2251204629976851,1,CVE-2025-47278,-0.2251204629976851,0
pallets/flask,flask,GHSA-562c-5r94-xh97,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2018-08-23T19:10:40Z,0.12.3,2018-04-26 20:12:32.459965+00:00,-118.95703171336804,1,CVE-2018-1000656;PYSEC-2018-66,-118.95703171336804,0
pallets/flask,flask,GHSA-5wv5-4vpf-pj6m,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2019-07-19T16:12:46Z,1.0,2018-04-26 20:12:52.254298+00:00,-448.833260945625,1,CVE-2019-1010083;PYSEC-2019-179,-448.833260945625,0
pallets/flask,flask,GHSA-m2qf-hxjv-5gpq,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2023-05-01T19:22:20Z,2.3.2,2023-05-01 15:42:08.893644+00:00,-0.1529063235648148,1,CVE-2023-30861;PYSEC-2023-62,-0.1529063235648148,0
pallets/flask,flask,PYSEC-2018-66,unknown,,2018-08-20T19:31:00Z,0.12.3,2018-04-26 20:12:32.459965+00:00,-115.97115208373845,1,CVE-2018-1000656;GHSA-562c-5r94-xh97,-115.97115208373845,1
pallets/flask,flask,PYSEC-2019-179,unknown,,2019-07-17T14:15:00Z,1.0,2018-04-26 20:12:52.254298+00:00,-446.7514785382176,1,CVE-2019-1010083;GHSA-5wv5-4vpf-pj6m,-446.7514785382176,1
pallets/flask,flask,PYSEC-2023-62,unknown,,2023-05-02T18:15:00Z,70f906c51ce49c485f1d355703e9cc3386b1cc2b,,,0,CVE-2023-30861;GHSA-m2qf-hxjv-5gpq,1021.88555000728,1
django/django,django,GHSA-2655-q453-22f9,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2022-05-17T05:10:31Z,1.3.4,2013-03-05 22:33:47.875562+00:00,-3359.27549912544,1,CVE-2012-4520;PYSEC-2012-7,-3359.27549912544,0
django/django,django,GHSA-296w-6qhq-gf92,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-05-14T02:05:08Z,1.4.14,2014-08-20 20:01:35.076618+00:00,-2823.252464390996,1,CVE-2014-0481;PYSEC-2014-5,-2823.252464390996,0
django/django,django,GHSA-2f9x-5v75-3qv4,high,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,2019-01-04T17:50:00Z,2.0.3,2018-03-06 14:05:32.353199+00:00,-304.1558755416782,1,CVE-2018-7537;PYSEC-2018-6,-304.1558755416782,0
django/django,django,GHSA-2gwj-7jmv-h26r,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-04-13T00:00:33Z,2.2.28,2022-04-11 07:52:52.782601+00:00,-1.6719932569328702,1,BIT-django-2022-28346;CVE-2022-28346;PYSEC-2022-190,-1.6719932569328702,0
django/django,django,GHSA-2hrw-hx67-34x6,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2023-02-15T03:30:47Z,3.2.18,2023-02-14 08:25:28.389548+00:00,-0.7953542876388888,1,BIT-django-2023-24580;CVE-2023-24580;PYSEC-2023-13,-0.7953542876388888,0
django/django,django,GHSA-2m34-jcjv-45xf,high,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2020-06-05T16:24:28Z,2.2.13,2020-06-03 09:36:32.337142+00:00,-2.283283134930556,1,BIT-django-2020-13596;CVE-2020-13596;PYSEC-2020-32,-2.283283134930556,0
django/django,django,GHSA-2mcm-79hx-8fxw,high,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N/E:U,2026-02-03T15:30:23Z,6.0.2,2026-02-03 13:50:15.501752+00:00,-0.0695312297222222,1,BIT-django-2025-13473;CVE-2025-13473,-0.0695312297222222,0
django/django,django,GHSA-337x-4q8g-prc5,high,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,2019-01-14T16:20:05Z,1.11.18,2019-01-04 14:10:44.776909+00:00,-10.089817396886572,1,CVE-2019-3498;PYSEC-2019-17,-10.089817396886572,0
django/django,django,GHSA-37hp-765x-j95x,high,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2019-01-04T17:50:26Z,1.10.7,2017-04-04 14:27:40.297406+00:00,-640.1408067429861,1,CVE-2017-7233;PYSEC-2017-9,-640.1408067429861,0
django/django,django,GHSA-3f2c-jm6v-cr35,critical,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,2022-05-17T00:27:18Z,1.8.16,2016-11-01 14:09:28.452420+00:00,-2022.4290456895835,1,CVE-2016-9014;PYSEC-2016-18,-2022.4290456895835,0
django/django,django,GHSA-3gh2-xw74-jmcw,critical,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2020-06-05T14:52:07Z,1.11.29,2020-03-04 09:31:46.566802+00:00,-93.22245871756944,1,BIT-django-2020-9402;CVE-2020-9402;PYSEC-2020-36,-93.22245871756944,0
django/django,django,GHSA-3jqw-crqj-w8qw,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2018-07-23T19:51:35Z,1.2.7,2011-09-11 03:05:18.996286+00:00,-2507.698796339282,1,CVE-2011-4137;PYSEC-2011-2,-2507.698796339282,0
django/django,django,GHSA-46x4-9jmv-jc8p,high,CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:L/I:H/A:N,2022-05-17T03:43:00Z,1.9.2,2016-02-01 17:17:18.693011+00:00,-2296.434505867928,1,CVE-2016-2048;PYSEC-2016-14,-2296.434505867928,0
django/django,django,GHSA-4894-5vqc-6r2r,high,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2022-05-17T01:33:07Z,1.5.2,2013-08-13 16:54:03.787628+00:00,-3198.360453846898,1,CVE-2013-4249;PYSEC-2013-19,-3198.360453846898,0
django/django,django,GHSA-4c42-4rxm-x6qf,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-05-17T04:53:45Z,1.4.8,2013-09-15 06:22:11.681231+00:00,-3165.938580078345,1,CVE-2013-1443;PYSEC-2013-18,-3165.938580078345,0
django/django,django,GHSA-53qw-q765-4fww,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-01-12T19:20:53Z,2.2.26,2022-01-04 09:53:18.329006+00:00,-8.394151284652779,1,BIT-django-2021-45115;CVE-2021-45115;PYSEC-2022-1,-8.394151284652779,0
django/django,django,GHSA-54qj-48vx-cr9f,high,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2022-05-01T23:48:43Z,0.91.2,,,0,CVE-2008-2302;PYSEC-2008-1,1387.6538023220949,0
django/django,django,GHSA-59w8-4wm2-4xw8,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-05-17T05:12:01Z,1.3.2,2012-07-30 23:02:55.545349+00:00,-3577.2563131325346,1,CVE-2012-3443;PYSEC-2012-3,-3577.2563131325346,0
django/django,django,GHSA-5h2q-4hrp-v9rr,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,2022-05-17T05:12:01Z,1.3.2,2012-07-30 23:02:55.545349+00:00,-3577.2563131325346,1,CVE-2012-3444;PYSEC-2012-4,-3577.2563131325346,0
django/django,django,GHSA-5hg3-6c2f-f3wr,high,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2018-10-04T21:58:46Z,2.0.8,2018-08-01 13:51:58.926049+00:00,-64.33804483739584,1,CVE-2018-14574;PYSEC-2018-2,-64.33804483739584,0
django/django,django,GHSA-5hgc-2vfp-mqvc,high,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,2024-10-08T18:33:13Z,5.1.1,2024-09-03 14:01:12.448544+00:00,-35.188895271481485,1,BIT-django-2024-45230;CVE-2024-45230;PYSEC-2024-102,-35.188895271481485,0
django/django,django,GHSA-5j2h-h5hg-3wf8,critical,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,2018-07-23T19:51:10Z,1.1.4,2011-02-09 04:13:07.000075+00:00,-2721.651423610243,1,CVE-2011-0696;PYSEC-2011-10,-2721.651423610243,0
