,pr_count,review_latency_p50,bug_issue_rate,bug_mttr_p50_days,scorecard_score,governance_index,external_contributor_ratio,transparency_index,many_eyes_proxy,repo_age_days
pr_count,1.0,-0.08347865157303015,-0.09548821335545024,-0.036192755795670065,0.02685250518828319,0.002171298177185301,-0.1033525382061217,-0.10078206301950772,1.0,-0.10204190928855233
review_latency_p50,-0.08347865157303015,1.0,-0.03826014445343898,0.28813610300582504,-0.04939557498819749,-0.08668186098216499,0.08689474628174454,0.0025922167863011306,-0.08347865157303018,0.05938151291706926
bug_issue_rate,-0.09548821335545024,-0.03826014445343898,1.0,-0.09157093031197264,-0.003967916755951144,0.07431214333302841,-0.02972277468952787,0.07704031518746986,-0.09548821335545024,-0.11155625389083672
bug_mttr_p50_days,-0.036192755795670065,0.28813610300582504,-0.09157093031197264,1.0,-0.0015707189182015515,-0.08835532566721514,0.09780629312625147,0.07772670239764082,-0.03619275579567006,-0.08616029946294836
scorecard_score,0.02685250518828319,-0.04939557498819749,-0.003967916755951144,-0.0015707189182015515,1.0,0.7629470979741583,-0.0703824597120265,0.15136971069868696,0.0268525051882832,0.13917487993493277
governance_index,0.002171298177185301,-0.08668186098216499,0.07431214333302841,-0.08835532566721514,0.7629470979741583,1.0,0.058430315532628514,0.2269124113604477,0.002171298177185302,0.06711774590920391
external_contributor_ratio,-0.1033525382061217,0.08689474628174454,-0.02972277468952787,0.09780629312625147,-0.0703824597120265,0.058430315532628514,1.0,0.7104605953849396,-0.1033525382061217,0.07621324067385013
transparency_index,-0.10078206301950772,0.0025922167863011306,0.07704031518746986,0.07772670239764082,0.15136971069868696,0.2269124113604477,0.7104605953849396,1.0,-0.10078206301950768,0.09377771284935725
many_eyes_proxy,1.0,-0.08347865157303018,-0.09548821335545024,-0.03619275579567006,0.0268525051882832,0.002171298177185302,-0.1033525382061217,-0.10078206301950768,1.0,-0.10204190928855233
repo_age_days,-0.10204190928855233,0.05938151291706926,-0.11155625389083672,-0.08616029946294836,0.13917487993493277,0.06711774590920391,0.07621324067385013,0.09377771284935725,-0.10204190928855233,1.0
