repo_full_name,quarter,vuln_count,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_severe,stars,forks,log_stars,transparency_index,governance_index,governance_artifact_score,scorecard_score,external_contributor_ratio,bus_factor_proxy_k50,gini_contrib,top1_share,contributor_count
Azure/azure-sdk-for-python,2022-Q3,1,0,0,1,0,0,5472.0,3226.0,8.607582191143917,0.9646867612293144,0.686,0.8,6.1,0.92,8.0,0.6375721077654517,0.1590068674062335,98.0
Azure/azure-sdk-for-python,2024-Q2,1,0,0,1,0,0,5472.0,3226.0,8.607582191143917,0.9646867612293144,0.686,0.8,6.1,0.92,8.0,0.6375721077654517,0.1590068674062335,98.0
Delgan/loguru,2022-Q1,2,0,1,0,0,1,23570.0,767.0,10.067772421843932,0.8850472813238771,0.476,0.2,6.6,0.95,1.0,0.9097012841987716,0.8241206030150754,72.0
Kludex/starlette,2023-Q1,1,1,0,0,0,1,11902.0,1113.0,9.38454574816788,1.0,0.08,0.2,,1.0,2.0,0.8038335809806836,0.338038632986627,100.0
Kludex/starlette,2023-Q2,3,0,1,0,0,1,11902.0,1113.0,9.38454574816788,1.0,0.08,0.2,,1.0,2.0,0.8038335809806836,0.338038632986627,100.0
Kludex/starlette,2024-Q4,1,0,1,0,0,1,11902.0,1113.0,9.38454574816788,1.0,0.08,0.2,,1.0,2.0,0.8038335809806836,0.338038632986627,100.0
Kludex/starlette,2025-Q3,1,0,1,0,0,1,11902.0,1113.0,9.38454574816788,1.0,0.08,0.2,,1.0,2.0,0.8038335809806836,0.338038632986627,100.0
Kludex/starlette,2025-Q4,1,1,0,0,0,1,11902.0,1113.0,9.38454574816788,1.0,0.08,0.2,,1.0,2.0,0.8038335809806836,0.338038632986627,100.0
Kludex/uvicorn,2020-Q3,4,2,0,0,0,2,10375.0,906.0,9.24725072599628,1.0,0.0,0.0,,1.0,2.0,0.8556006120887528,0.3825554705432287,100.0
Lightning-AI/pytorch-lightning,2021-Q4,1,0,0,0,0,0,30814.0,3669.0,10.335756863396345,0.9505762411347516,0.6500000000000001,0.8,5.5,0.89,3.0,0.8162062538827916,0.2411472354524746,97.0
Lightning-AI/pytorch-lightning,2022-Q1,3,1,1,0,0,2,30814.0,3669.0,10.335756863396345,0.9505762411347516,0.6500000000000001,0.8,5.5,0.89,3.0,0.8162062538827916,0.2411472354524746,97.0
Lightning-AI/pytorch-lightning,2025-Q1,2,2,0,0,0,2,30814.0,3669.0,10.335756863396345,0.9505762411347516,0.6500000000000001,0.8,5.5,0.89,3.0,0.8162062538827916,0.2411472354524746,97.0
MagicStack/asyncpg,2020-Q3,1,0,0,0,0,0,7928.0,437.0,8.978282203272398,0.7307180851063829,0.33,0.0,5.5,0.27,1.0,0.8644191879793094,0.5005820721769499,97.0
MagicStack/asyncpg,2021-Q2,1,1,0,0,0,1,7928.0,437.0,8.978282203272398,0.7307180851063829,0.33,0.0,5.5,0.27,1.0,0.8644191879793094,0.5005820721769499,97.0
aio-libs/aiohttp,2021-Q1,2,0,1,0,0,1,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2023-Q3,2,0,1,0,0,1,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2023-Q4,9,2,6,0,0,8,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2024-Q1,4,1,3,0,0,4,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2024-Q2,2,1,1,0,0,2,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2024-Q3,1,0,1,0,0,1,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2024-Q4,2,1,1,0,0,2,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2025-Q3,1,0,1,0,0,1,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiohttp,2026-Q1,8,4,4,0,0,8,16256.0,2187.0,9.696278864234223,0.8971631205673759,0.6719999999999999,0.6,7.2,0.71,2.0,0.8832812893477714,0.3726181482414169,100.0
aio-libs/aiomysql,2025-Q4,1,1,0,0,0,1,1887.0,266.0,7.543273346705446,0.8546838061465722,0.3959999999999999,0.0,6.6,0.6,3.0,0.8652804377564979,0.3372093023255814,99.0
ansible/ansible,2023-Q4,2,0,0,2,0,0,,,0.0,,0.6,0.6,6.0,,,,,
ansible/ansible,2024-Q1,2,0,0,2,0,0,,,0.0,,0.6,0.6,6.0,,,,,
ansible/ansible,2024-Q3,1,0,0,1,0,0,,,0.0,,0.6,0.6,6.0,,,,,
ansible/ansible,2024-Q4,2,0,1,1,0,1,,,0.0,,0.6,0.6,6.0,,,,,
benoitc/gunicorn,2018-Q2,1,0,0,0,0,0,10427.0,1810.0,9.252249775053391,0.8761820330969267,0.5940000000000001,0.6,5.9,0.69,1.0,0.8591514143094843,0.5221297836938436,96.0
benoitc/gunicorn,2018-Q3,1,1,0,0,0,1,10427.0,1810.0,9.252249775053391,0.8761820330969267,0.5940000000000001,0.6,5.9,0.69,1.0,0.8591514143094843,0.5221297836938436,96.0
benoitc/gunicorn,2024-Q2,1,1,0,0,0,1,10427.0,1810.0,9.252249775053391,0.8761820330969267,0.5940000000000001,0.6,5.9,0.69,1.0,0.8591514143094843,0.5221297836938436,96.0
benoitc/gunicorn,2025-Q1,1,1,0,0,0,1,10427.0,1810.0,9.252249775053391,0.8761820330969267,0.5940000000000001,0.6,5.9,0.69,1.0,0.8591514143094843,0.5221297836938436,96.0
bottlepy/bottle,2014-Q4,1,0,0,0,0,0,8743.0,1492.0,9.076123029856374,0.9433362884160758,0.308,0.2,3.8,0.85,1.0,0.887421451787649,0.7784398699891658,99.0
bottlepy/bottle,2016-Q4,1,0,0,0,0,0,8743.0,1492.0,9.076123029856374,0.9433362884160758,0.308,0.2,3.8,0.85,1.0,0.887421451787649,0.7784398699891658,99.0
bottlepy/bottle,2021-Q1,1,0,0,0,0,0,8743.0,1492.0,9.076123029856374,0.9433362884160758,0.308,0.2,3.8,0.85,1.0,0.887421451787649,0.7784398699891658,99.0
bottlepy/bottle,2021-Q2,1,1,0,0,0,1,8743.0,1492.0,9.076123029856374,0.9433362884160758,0.308,0.2,3.8,0.85,1.0,0.887421451787649,0.7784398699891658,99.0
bottlepy/bottle,2022-Q2,4,2,1,0,0,3,8743.0,1492.0,9.076123029856374,0.9433362884160758,0.308,0.2,3.8,0.85,1.0,0.887421451787649,0.7784398699891658,99.0
celery/celery,2011-Q4,1,0,0,0,0,0,27982.0,4939.0,10.239352461914338,1.0,0.514,0.4,5.9,1.0,1.0,0.9066625813142264,0.5318186103516546,100.0
celery/celery,2021-Q4,1,0,0,0,0,0,27982.0,4939.0,10.239352461914338,1.0,0.514,0.4,5.9,1.0,1.0,0.9066625813142264,0.5318186103516546,100.0
celery/celery,2022-Q1,1,1,0,0,0,1,27982.0,4939.0,10.239352461914338,1.0,0.514,0.4,5.9,1.0,1.0,0.9066625813142264,0.5318186103516546,100.0
celery/celery,2022-Q2,1,0,0,0,0,0,27982.0,4939.0,10.239352461914338,1.0,0.514,0.4,5.9,1.0,1.0,0.9066625813142264,0.5318186103516546,100.0
certifi/python-certifi,2022-Q4,2,0,1,0,0,1,956.0,276.0,6.863803391452954,0.724290780141844,0.494,0.2,6.9,0.81,2.0,0.7765151515151516,0.296969696969697,40.0
certifi/python-certifi,2023-Q3,2,1,0,0,0,1,956.0,276.0,6.863803391452954,0.724290780141844,0.494,0.2,6.9,0.81,2.0,0.7765151515151516,0.296969696969697,40.0
certifi/python-certifi,2024-Q3,2,1,0,0,0,1,956.0,276.0,6.863803391452954,0.724290780141844,0.494,0.2,6.9,0.81,2.0,0.7765151515151516,0.296969696969697,40.0
dask/dask,2021-Q4,1,0,0,0,0,0,13733.0,1842.0,9.527629789180622,0.6666666666666666,0.44,0.2,6.0,0.06,3.0,0.8116436510609633,0.3422027618726844,100.0
django/django,2007-Q4,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2008-Q2,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2008-Q3,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2009-Q3,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2009-Q4,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2010-Q3,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2011-Q1,5,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2011-Q4,5,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2012-Q3,3,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2012-Q4,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2013-Q2,2,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2013-Q3,2,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2013-Q4,2,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2014-Q2,5,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2014-Q3,4,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2015-Q1,7,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2015-Q2,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2015-Q3,5,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2015-Q4,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2016-Q1,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2016-Q2,2,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2016-Q3,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2016-Q4,3,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2017-Q2,2,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2017-Q3,1,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2018-Q1,3,0,0,0,0,0,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2018-Q3,10,5,3,1,0,8,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2018-Q4,4,1,2,0,0,3,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2019-Q1,9,1,6,0,0,7,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2019-Q2,3,0,2,0,0,2,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2019-Q3,11,5,1,0,0,6,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
django/django,2019-Q4,3,0,1,0,0,1,86710.0,33636.0,11.370336028999896,0.9361702127659576,0.6599999999999999,0.6,7.0,0.82,7.0,0.7116008537886873,0.1246531483457844,100.0
