repo_full_name,quarter,critical,high,medium,unknown,low,vuln_total,vuln_severe
Azure/azure-sdk-for-python,2022-Q3,0.0,0.0,1.0,0.0,0,1.0,0.0
Azure/azure-sdk-for-python,2024-Q2,0.0,0.0,1.0,0.0,0,1.0,0.0
Delgan/loguru,2022-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
Kludex/starlette,2023-Q1,1.0,0.0,0.0,0.0,0,1.0,1.0
Kludex/starlette,2023-Q2,0.0,1.0,0.0,2.0,0,3.0,1.0
Kludex/starlette,2024-Q4,0.0,1.0,0.0,0.0,0,1.0,1.0
Kludex/starlette,2025-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
Kludex/starlette,2025-Q4,1.0,0.0,0.0,0.0,0,1.0,1.0
Kludex/uvicorn,2020-Q3,2.0,0.0,0.0,2.0,0,4.0,2.0
Lightning-AI/pytorch-lightning,2021-Q4,0.0,0.0,0.0,1.0,0,1.0,0.0
Lightning-AI/pytorch-lightning,2022-Q1,1.0,1.0,0.0,1.0,0,3.0,2.0
Lightning-AI/pytorch-lightning,2025-Q1,2.0,0.0,0.0,0.0,0,2.0,2.0
MagicStack/asyncpg,2020-Q3,0.0,0.0,0.0,1.0,0,1.0,0.0
MagicStack/asyncpg,2021-Q2,1.0,0.0,0.0,0.0,0,1.0,1.0
aio-libs/aiohttp,2021-Q1,0.0,1.0,0.0,1.0,0,2.0,1.0
aio-libs/aiohttp,2023-Q3,0.0,1.0,0.0,1.0,0,2.0,1.0
aio-libs/aiohttp,2023-Q4,2.0,6.0,0.0,1.0,0,9.0,8.0
aio-libs/aiohttp,2024-Q1,1.0,3.0,0.0,0.0,0,4.0,4.0
aio-libs/aiohttp,2024-Q2,1.0,1.0,0.0,0.0,0,2.0,2.0
aio-libs/aiohttp,2024-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
aio-libs/aiohttp,2024-Q4,1.0,1.0,0.0,0.0,0,2.0,2.0
aio-libs/aiohttp,2025-Q3,0.0,1.0,0.0,0.0,0,1.0,1.0
