repo_full_name,contributor_login,contributions,type
django/django,timgraham,3504,User
django/django,adrianholovaty,2802,User
django/django,malcolmt,1872,User
django/django,freakboy3742,1741,User
django/django,claudep,1722,User
django/django,felixxm,1678,User
django/django,aaugustin,1399,User
django/django,jezdez,895,User
django/django,jacobian,893,User
django/django,charettes,753,User
django/django,spookylukey,497,User
django/django,alex,483,User
django/django,ramiro,474,User
django/django,andrewgodwin,450,User
django/django,jdufresne,425,User
django/django,sir-sigurd,373,User
django/django,akaariai,351,User
django/django,ngnpope,345,User
django/django,gdub,335,User
django/django,carltongibson,316,User
django/django,adamchainz,299,User
django/django,apollo13,296,User
django/django,kmtracey,274,User
django/django,jbronn,270,User
django/django,ubernostrum,264,User
django/django,hramezani,259,User
django/django,jacobtylerwalls,227,User
django/django,nessita,219,User
django/django,bmispelon,218,User
django/django,carljm,213,User
django/django,Georg Bauer,202,Anonymous
django/django,sarahboyce,197,User
django/django,smithdc1,196,User
django/django,jphalip,194,User
django/django,loic,180,User
django/django,brosner,150,User
django/django,MarkusH,146,User
django/django,cjerdonek,144,User
django/django,mjtamlyn,139,User
django/django,Gabriel Hurley,122,Anonymous
django/django,atombrella,99,User
django/django,SmileyChris,93,User
django/django,Ian Kelly,93,Anonymous
django/django,David-Wobrock,82,User
django/django,ptone,75,User
django/django,shaib,74,User
django/django,marcfargas,73,User
django/django,berkerpeksag,71,User
django/django,collinanderson,68,User
django/django,jkocherhans,67,User
django/django,orf,66,User
django/django,cliffordgama,66,User
django/django,francoisfreitag,63,User
django/django,alasdairnicol,60,User
django/django,prestontimmons,59,User
django/django,PaulMcMillan,54,User
django/django,hannseman,52,User
django/django,honzakral,49,User
django/django,kezabelle,47,User
django/django,DrMeers,46,User
django/django,Jarek Zgoda,44,Anonymous
django/django,jarshwah,44,User
django/django,Wilson Miner,44,Anonymous
django/django,shangxiao,41,User
django/django,mxsasha,39,User
django/django,akki,38,User
django/django,medmunds,38,User
django/django,Alex Gaynor,37,Anonymous
django/django,knbk,37,User
django/django,Nicola Larosa,36,Anonymous
django/django,knyghty,36,User
django/django,Antoliny0919,36,User
django/django,Adam Chainz,35,Anonymous
django/django,JaeHyuckSa,35,User
django/django,mboersma,34,User
django/django,desecho,33,User
django/django,funkybob,33,User
django/django,mgaligniana,33,User
django/django,blueyed,32,User
django/django,evildmp,32,User
django/django,coder9042,30,User
django/django,matthiask,30,User
django/django,yellowcap,30,User
django/django,codingjoe,29,User
django/django,adamzap,27,User
django/django,manfre,27,User
django/django,srinivasreddy,26,User
django/django,jschneier,26,User
django/django,Bouke,26,User
django/django,Simon Willison,25,Anonymous
django/django,AlexHill,25,User
django/django,laymonage,25,User
django/django,mmardini,23,User
django/django,Ian Foote,22,Anonymous
django/django,marfire,22,User
django/django,pauloxnet,22,User
django/django,scop,22,User
django/django,czpython,21,User
django/django,wrwrwr,21,User
django/django,Unai Zalakain,20,Anonymous
pallets/flask,davidism,1805,User
pallets/flask,mitsuhiko,1189,User
pallets/flask,untitaker,274,User
pallets/flask,rduplain,122,User
pallets/flask,greyli,105,User
pallets/flask,dependabot-preview[bot],91,Bot
pallets/flask,DasIch,86,User
pallets/flask,dependabot[bot],61,Bot
pallets/flask,kennethreitz,59,User
pallets/flask,Kenneth Reitz,57,Anonymous
pallets/flask,pgjones,50,User
pallets/flask,pre-commit-ci[bot],39,Bot
pallets/flask,keyan,36,User
pallets/flask,Daniel Neuhäuser,32,Anonymous
pallets/flask,ThiefMaster,28,User
pallets/flask,defuz,26,User
pallets/flask,lepture,25,User
pallets/flask,ThomasWaldmann,23,User
pallets/flask,jeffwidman,22,User
pallets/flask,jab,21,User
pallets/flask,SimonSapin,18,User
pallets/flask,lord63,17,User
pallets/flask,florentx,17,User
pallets/flask,adambyrtek,13,User
pallets/flask,dag,13,User
pallets/flask,wgwz,13,User
pallets/flask,s3rvac,12,User
pallets/flask,flying-sheep,12,User
pallets/flask,dawranliou,10,User
pallets/flask,plaes,9,User
pallets/flask,garenchan,9,User
pallets/flask,methane,8,User
pallets/flask,Eugene M. Kim,8,Anonymous
pallets/flask,vtbassmatt,8,User
pallets/flask,tullyrankin,7,User
pallets/flask,miguelgrinberg,7,User
pallets/flask,yuxiaoy1,7,User
pallets/flask,cvrebert,6,User
pallets/flask,matt swanson,6,Anonymous
pallets/flask,Sven-Hendrik Haase,6,Anonymous
pallets/flask,Winnetou,6,User
pallets/flask,aqt01,6,User
pallets/flask,hendrikmakait,6,User
pallets/flask,singingwolfboy,6,User
pallets/flask,lordmauve,6,User
pallets/flask,antsar,6,User
pallets/flask,alexpantyukhin,6,User
pallets/flask,akavlie,6,User
