repo_full_name,repo_id,default_branch,created_at,updated_at,pushed_at,stars,forks,open_issues,language,archived,fork,license,error
django/django,4164482.0,main,2012-04-28T02:47:18Z,2026-02-08T15:04:02Z,2026-02-06T21:19:49Z,86710.0,33636.0,0.0,Python,False,False,BSD-3-Clause,
pallets/flask,596892.0,main,2010-04-06T11:11:59Z,2026-02-08T14:48:40Z,2026-02-06T21:23:01Z,71144.0,16696.0,0.0,Python,False,False,BSD-3-Clause,
psf/requests,1362490.0,main,2011-02-13T18:38:17Z,2026-02-08T12:33:45Z,2026-02-06T16:11:26Z,53721.0,9731.0,204.0,Python,False,False,Apache-2.0,
fastapi/fastapi,160919119.0,master,2018-12-08T08:21:47Z,2026-02-08T15:44:20Z,2026-02-08T10:40:09Z,94899.0,8653.0,12.0,Python,False,False,MIT,
encode/httpx,179492861.0,master,2019-04-04T12:27:00Z,2026-02-08T15:55:06Z,2026-02-01T16:43:53Z,14974.0,1030.0,63.0,Python,False,False,BSD-3-Clause,
tornadoweb/tornado,301742.0,master,2009-09-09T04:55:16Z,2026-02-08T12:46:21Z,2026-01-23T01:16:27Z,22442.0,5544.0,181.0,Python,False,False,Apache-2.0,
aio-libs/aiohttp,13258039.0,master,2013-10-01T23:04:01Z,2026-02-08T12:33:50Z,2026-02-07T20:26:55Z,16256.0,2187.0,198.0,Python,False,False,NOASSERTION,
bottlepy/bottle,239940.0,master,2009-06-30T17:51:30Z,2026-02-07T13:46:38Z,2026-01-02T10:28:46Z,8743.0,1492.0,215.0,Python,False,False,MIT,
Kludex/starlette,138597372.0,main,2018-06-25T13:16:21Z,2026-02-08T14:58:54Z,2026-02-01T19:56:56Z,11902.0,1113.0,18.0,Python,False,False,BSD-3-Clause,
benoitc/gunicorn,390510.0,master,2009-11-30T18:18:08Z,2026-02-08T14:15:02Z,2026-02-07T16:43:34Z,10427.0,1810.0,72.0,Python,False,False,NOASSERTION,
Kludex/uvicorn,92946971.0,main,2017-05-31T13:13:43Z,2026-02-08T14:59:04Z,2026-02-02T19:48:34Z,10375.0,906.0,29.0,Python,False,False,BSD-3-Clause,
pallets/werkzeug,997338.0,main,2010-10-18T11:42:40Z,2026-02-07T21:00:24Z,2026-02-06T18:48:50Z,6840.0,1761.0,1.0,Python,False,False,BSD-3-Clause,
falconry/falcon,7040500.0,master,2012-12-06T18:17:51Z,2026-02-08T07:27:46Z,2026-01-25T20:14:55Z,9796.0,979.0,150.0,Python,False,False,Apache-2.0,
sanic-org/sanic,59720190.0,main,2016-05-26T04:38:22Z,2026-02-07T11:39:59Z,2026-01-07T11:11:51Z,18637.0,1583.0,98.0,Python,False,False,MIT,
pallets/quart,110288200.0,main,2017-11-10T20:10:33Z,2026-02-07T19:43:58Z,2025-09-01T18:49:41Z,3591.0,193.0,47.0,Python,False,False,MIT,
flask-restful/flask-restful,6182775.0,master,2012-10-12T00:08:51Z,2026-02-07T11:05:38Z,2024-07-19T22:46:03Z,6931.0,1045.0,98.0,Python,False,False,BSD-3-Clause,
graphql-python/graphene,43056951.0,master,2015-09-24T09:18:18Z,2026-02-05T06:10:49Z,2025-09-04T15:43:44Z,8244.0,821.0,91.0,Python,False,False,MIT,
encode/django-rest-framework,1431547.0,main,2011-03-02T17:13:56Z,2026-02-08T10:11:15Z,2026-02-07T13:26:13Z,29863.0,7064.0,43.0,Python,False,False,NOASSERTION,
strawberry-graphql/strawberry,162690887.0,main,2018-12-21T08:56:55Z,2026-02-07T14:00:04Z,2026-02-08T09:56:09Z,4607.0,609.0,378.0,Python,False,False,MIT,
numpy/numpy,908607.0,main,2010-09-13T23:02:39Z,2026-02-08T13:11:37Z,2026-02-05T19:16:13Z,31403.0,12029.0,2087.0,Python,False,False,NOASSERTION,
scipy/scipy,1460385.0,main,2011-03-09T18:52:03Z,2026-02-08T13:05:31Z,2026-02-08T11:17:30Z,14436.0,5610.0,1447.0,Python,False,False,BSD-3-Clause,
matplotlib/matplotlib,1385122.0,main,2011-02-19T03:17:12Z,2026-02-08T12:33:32Z,2026-02-07T01:33:09Z,22318.0,8181.0,1116.0,Python,False,False,,
pandas-dev/pandas,858127.0,main,2010-08-24T01:37:33Z,2026-02-08T14:21:58Z,2026-02-06T21:29:52Z,47834.0,19626.0,3440.0,Python,False,False,BSD-3-Clause,
scikit-learn/scikit-learn,843222.0,main,2010-08-17T09:43:38Z,2026-02-08T15:04:36Z,2026-02-06T14:50:17Z,64953.0,26670.0,1595.0,Python,False,False,BSD-3-Clause,
statsmodels/statsmodels,1885237.0,main,2011-06-12T17:04:50Z,2026-02-08T06:38:02Z,2026-01-13T23:39:11Z,11233.0,3321.0,2775.0,Python,False,False,BSD-3-Clause,
mwaskom/seaborn,4704710.0,master,2012-06-18T18:41:19Z,2026-02-08T12:24:37Z,2026-01-22T13:03:07Z,13711.0,2079.0,169.0,Python,False,False,BSD-3-Clause,
dmlc/xgboost,16587283.0,master,2014-02-06T17:28:03Z,2026-02-08T14:26:43Z,2026-02-07T06:18:15Z,27980.0,8844.0,406.0,C++,False,False,Apache-2.0,
tensorflow/tensorflow,45717250.0,master,2015-11-07T01:19:20Z,2026-02-08T15:55:26Z,2026-02-08T15:55:15Z,193660.0,75218.0,873.0,C++,False,False,Apache-2.0,
catboost/catboost,97556265.0,master,2017-07-18T05:29:04Z,2026-02-08T14:58:58Z,2026-02-08T14:58:54Z,8792.0,1260.0,648.0,C++,False,False,Apache-2.0,
microsoft/LightGBM,64991887.0,master,2016-08-05T05:45:50Z,2026-02-08T07:34:36Z,2026-02-08T00:26:24Z,18072.0,3982.0,427.0,C++,False,False,MIT,
huggingface/tokenizers,219035799.0,main,2019-11-01T17:52:20Z,2026-02-07T16:13:59Z,2026-02-06T10:06:40Z,10455.0,1030.0,107.0,Rust,False,False,Apache-2.0,
Lightning-AI/pytorch-lightning,178626720.0,master,2019-03-31T00:45:57Z,2026-02-08T15:52:39Z,2026-02-04T08:29:47Z,30814.0,3669.0,826.0,Python,False,False,Apache-2.0,
huggingface/transformers,155220641.0,main,2018-10-29T13:56:00Z,2026-02-08T15:51:34Z,2026-02-08T15:36:52Z,156224.0,31994.0,1089.0,Python,False,False,Apache-2.0,
huggingface/datasets,250213286.0,main,2020-03-26T09:23:22Z,2026-02-08T13:36:43Z,2026-02-04T18:55:37Z,21173.0,3093.0,894.0,Python,False,False,Apache-2.0,
huggingface/safetensors,540033828.0,main,2022-09-22T14:54:51Z,2026-02-05T16:22:10Z,2026-02-04T17:09:42Z,3615.0,293.0,33.0,Python,False,False,Apache-2.0,
huggingface/accelerate,308638334.0,main,2020-10-30T13:27:12Z,2026-02-06T14:38:49Z,2026-02-06T14:38:44Z,9486.0,1283.0,76.0,Python,False,False,Apache-2.0,
keras-team/keras,33015583.0,master,2015-03-28T00:35:42Z,2026-02-08T15:48:57Z,2026-02-07T01:14:31Z,63755.0,19688.0,210.0,Python,False,False,Apache-2.0,
huggingface/huggingface_hub,323591830.0,main,2020-12-22T10:20:28Z,2026-02-06T17:53:39Z,2026-02-07T03:43:38Z,3317.0,928.0,140.0,Python,False,False,Apache-2.0,
google-deepmind/optax,271834742.0,main,2020-06-12T15:45:35Z,2026-02-08T03:04:09Z,2026-02-06T17:37:50Z,2176.0,313.0,30.0,Python,False,False,Apache-2.0,
google/flax,233016299.0,main,2020-01-10T09:48:37Z,2026-02-07T11:16:34Z,2026-02-07T01:34:58Z,7064.0,787.0,233.0,Jupyter Notebook,False,False,Apache-2.0,
jax-ml/jax,154739597.0,main,2018-10-25T21:25:02Z,2026-02-08T15:10:44Z,2026-02-08T08:06:15Z,34816.0,3409.0,1669.0,Python,False,False,Apache-2.0,
modin-project/modin,138224079.0,main,2018-06-21T21:35:05Z,2026-02-08T13:31:16Z,2025-10-02T19:16:43Z,10357.0,673.0,672.0,Python,False,False,Apache-2.0,
dask/dask,28782747.0,main,2015-01-04T18:50:00Z,2026-02-07T17:13:54Z,2026-02-05T22:04:22Z,13733.0,1842.0,1020.0,Python,False,False,BSD-3-Clause,
pola-rs/polars,263727855.0,main,2020-05-13T19:45:33Z,2026-02-08T15:21:09Z,2026-02-08T14:41:39Z,37344.0,2603.0,2501.0,Rust,False,False,NOASSERTION,
jupyter/notebook,33653601.0,main,2015-04-09T06:58:03Z,2026-02-07T19:45:41Z,2026-02-06T07:54:24Z,12933.0,5589.0,1904.0,Jupyter Notebook,False,False,BSD-3-Clause,
jupyterlab/jupyterlab,60374819.0,main,2016-06-03T20:09:17Z,2026-02-08T11:19:39Z,2026-02-06T19:48:52Z,15006.0,3893.0,2434.0,TypeScript,False,False,NOASSERTION,
ipython/ipython,658518.0,main,2010-05-10T04:46:06Z,2026-02-08T12:10:58Z,2026-02-02T09:59:49Z,16674.0,4460.0,1554.0,Python,False,False,BSD-3-Clause,
ipython/ipykernel,33655535.0,main,2015-04-09T07:44:14Z,2026-02-06T16:43:21Z,2026-02-06T16:43:17Z,716.0,398.0,282.0,Python,False,False,BSD-3-Clause,
jupyter/nbformat,33640907.0,main,2015-04-09T01:07:29Z,2026-02-06T13:44:03Z,2026-02-02T21:03:52Z,305.0,166.0,64.0,Python,False,False,BSD-3-Clause,
imageio/imageio,9861437.0,master,2013-05-04T22:56:45Z,2026-02-04T02:53:06Z,2025-11-04T14:29:24Z,1674.0,341.0,107.0,Python,False,False,BSD-2-Clause,
opencv/opencv-python,55781523.0,4.x,2016-04-08T13:36:40Z,2026-02-08T09:59:10Z,2026-02-03T07:13:13Z,5182.0,999.0,170.0,Python,False,False,MIT,
python-pillow/Pillow,5171600.0,main,2012-07-24T21:38:39Z,2026-02-08T15:11:28Z,2026-02-08T12:20:26Z,13368.0,2403.0,63.0,Python,False,False,NOASSERTION,
scikit-image/scikit-image,2014929.0,main,2011-07-07T22:07:20Z,2026-02-07T11:39:51Z,2026-02-05T20:34:41Z,6441.0,2355.0,607.0,Python,False,False,NOASSERTION,
nltk/nltk,299862.0,develop,2009-09-07T10:53:58Z,2026-02-08T13:27:53Z,2026-01-10T07:49:54Z,14494.0,2977.0,263.0,Python,False,False,Apache-2.0,
RaRe-Technologies/gensim,1349775.0,develop,2011-02-10T07:43:04Z,2026-02-08T06:22:36Z,2025-11-01T12:01:39Z,16349.0,4413.0,399.0,Python,False,False,LGPL-2.1,
sloria/TextBlob,11075275.0,dev,2013-06-30T18:29:18Z,2026-02-08T09:28:48Z,2026-02-03T17:19:56Z,9502.0,1182.0,68.0,Python,False,False,MIT,
explosion/spaCy,21467110.0,master,2014-07-03T15:15:40Z,2026-02-08T15:52:55Z,2025-11-27T18:55:46Z,33173.0,4638.0,154.0,Python,False,False,MIT,
