repo_full_name,has_security,has_coc,has_contributing,has_codeowners,has_funding,governance_artifact_score
pallets/flask,False,False,False,False,False,0.0
django/django,True,True,False,False,True,0.6
psf/requests,True,True,True,True,True,1.0
fastapi/fastapi,True,False,True,False,True,0.6
encode/httpx,False,False,True,False,True,0.4
aio-libs/aiohttp,False,True,False,True,True,0.6
tornadoweb/tornado,True,False,False,False,False,0.2
bottlepy/bottle,False,False,False,False,True,0.2
benoitc/gunicorn,True,False,True,False,True,0.6
Kludex/starlette,False,False,False,False,True,0.2
Kludex/uvicorn,False,False,False,False,False,0.0
pallets/werkzeug,False,False,False,False,False,0.0
sanic-org/sanic,True,True,True,True,True,1.0
falconry/falcon,False,False,True,False,True,0.4
pallets/quart,False,False,True,False,False,0.2
graphql-python/graphene,True,False,False,False,False,0.2
flask-restful/flask-restful,False,False,True,False,False,0.2
encode/django-rest-framework,True,False,True,False,True,0.6
strawberry-graphql/strawberry,False,False,True,False,False,0.2
numpy/numpy,False,False,True,False,False,0.2
matplotlib/matplotlib,True,True,True,False,True,0.8
scipy/scipy,False,True,False,True,True,0.6
statsmodels/statsmodels,False,False,False,False,False,0.0
scikit-learn/scikit-learn,True,True,True,False,True,0.8
pandas-dev/pandas,False,False,False,True,False,0.2
mwaskom/seaborn,True,False,True,False,False,0.4
dmlc/xgboost,True,False,False,False,True,0.4
tensorflow/tensorflow,True,True,True,True,False,0.8
catboost/catboost,True,False,True,False,False,0.4
microsoft/LightGBM,True,True,True,True,False,0.8
huggingface/tokenizers,False,False,False,False,False,0.0
Lightning-AI/pytorch-lightning,True,True,True,True,False,0.8
huggingface/transformers,True,True,True,False,False,0.6
huggingface/datasets,True,True,True,False,False,0.6
huggingface/safetensors,False,False,False,False,False,0.0
huggingface/accelerate,False,True,True,False,False,0.4
keras-team/keras,True,False,True,False,False,0.4
google-deepmind/optax,False,False,True,False,False,0.2
huggingface/huggingface_hub,False,True,True,False,False,0.4
google/flax,False,False,False,False,False,0.0
jax-ml/jax,False,False,True,False,False,0.2
modin-project/modin,False,True,False,True,False,0.4
dask/dask,False,False,True,False,False,0.2
pola-rs/polars,True,True,True,True,True,1.0
jupyter/notebook,False,False,True,False,False,0.2
ipython/ipython,True,False,True,False,False,0.4
ipython/ipykernel,False,False,True,False,False,0.2
jupyterlab/jupyterlab,False,False,True,False,False,0.2
jupyter/nbformat,True,False,True,False,False,0.4
imageio/imageio,False,False,False,False,True,0.2
opencv/opencv-python,False,False,True,False,False,0.2
scikit-image/scikit-image,True,True,False,False,False,0.4
python-pillow/Pillow,True,False,True,False,True,0.6
nltk/nltk,True,False,True,False,False,0.4
sloria/TextBlob,True,False,False,False,False,0.2
RaRe-Technologies/gensim,True,False,True,False,True,0.6
explosion/spaCy,False,False,True,False,True,0.4
psycopg/psycopg2,False,False,False,False,True,0.2
mongodb/mongo-python-driver,False,False,True,True,False,0.4
sqlalchemy/sqlalchemy,True,True,True,False,True,0.8
celery/celery,True,False,False,False,True,0.4
redis/redis-py,False,False,True,True,False,0.4
sqlalchemy/alembic,True,False,False,False,True,0.4
MagicStack/asyncpg,False,False,False,False,False,0.0
aio-libs/aiomysql,False,False,False,False,False,0.0
coleifer/peewee,False,False,False,False,False,0.0
pytest-dev/pytest,False,True,False,False,True,0.4
mongodb/motor,False,False,True,True,False,0.4
tortoise/tortoise-orm,False,False,False,False,False,0.0
pytest-dev/pytest-cov,True,False,False,False,False,0.2
pytest-dev/pytest-mock,True,False,False,False,True,0.4
pytest-dev/pytest-asyncio,False,False,False,True,False,0.2
pytest-dev/pytest-xdist,False,False,False,False,False,0.0
HypothesisWorks/hypothesis,False,False,False,True,False,0.2
tox-dev/tox,True,True,True,True,True,1.0
coveragepy/coveragepy,True,True,False,False,True,0.6
joke2k/faker,False,False,False,False,True,0.2
FactoryBoy/factory_boy,False,True,False,False,False,0.2
kevin1024/vcrpy,False,False,False,False,False,0.0
wntrblm/nox,False,True,True,False,True,0.6
psf/black,True,True,True,False,False,0.6
getsentry/responses,False,False,False,True,False,0.2
pycqa/flake8,True,False,False,False,True,0.4
pylint-dev/pylint,True,True,True,True,True,1.0
RobertCraigie/pyright-python,False,False,False,False,False,0.0
astral-sh/ruff,True,True,True,True,False,0.8
hhatto/autopep8,False,False,False,False,False,0.0
python/mypy,False,False,True,False,False,0.2
PyCQA/isort,False,False,False,False,True,0.2
PyCQA/bandit,True,True,True,True,True,1.0
pre-commit/pre-commit,False,False,True,False,False,0.2
pallets/click,False,False,False,False,False,0.0
tqdm/tqdm,True,True,True,True,True,1.0
Textualize/rich,True,True,True,False,True,0.8
fastapi/typer,True,False,True,False,True,0.6
google/python-fire,False,False,True,False,False,0.2
prompt-toolkit/python-prompt-toolkit,False,False,False,False,False,0.0
python-trio/trio,False,True,True,False,False,0.4
tartley/colorama,True,False,False,False,True,0.4
MagicStack/uvloop,False,False,False,False,False,0.0
agronholm/anyio,False,False,False,False,True,0.2
gevent/gevent,False,False,False,False,False,0.0
python-greenlet/greenlet,False,False,False,False,False,0.0
marshmallow-code/marshmallow,True,True,False,False,True,0.6
pydantic/pydantic,False,False,False,False,True,0.2
msgpack/msgpack-python,True,False,False,False,False,0.2
python-attrs/attrs,True,True,True,False,True,0.8
python-attrs/cattrs,True,True,True,False,True,0.8
ijl/orjson,False,False,False,False,False,0.0
ultrajson/ultrajson,True,False,False,False,False,0.2
yaml/pyyaml,True,False,False,False,False,0.2
hukkin/tomli,False,False,False,False,False,0.0
uiri/toml,False,False,False,False,False,0.0
hukkin/tomli-w,False,False,False,False,False,0.0
jaraco/configparser,True,False,False,False,True,0.4
theskumar/python-dotenv,True,False,True,False,False,0.4
pyca/cryptography,False,False,False,False,False,0.0
python-jsonschema/jsonschema,True,False,False,False,True,0.4
certifi/python-certifi,True,False,False,False,False,0.2
jpadilla/pyjwt,True,True,False,False,True,0.6
pyca/bcrypt,False,False,False,False,False,0.0
sethmlarson/truststore,True,False,False,True,False,0.4
paramiko/paramiko,True,False,False,False,True,0.4
pyca/pyopenssl,False,False,False,False,False,0.0
googleapis/python-storage,True,True,True,True,False,0.8
boto/boto3,True,True,False,False,False,0.4
boto/botocore,True,True,False,False,False,0.4
googleapis/google-auth-library-python,True,True,True,True,False,0.8
docker/docker-py,False,False,True,False,False,0.2
Azure/azure-sdk-for-python,True,True,True,True,False,0.8
fabric/fabric,True,False,False,False,False,0.2
urllib3/urllib3,True,True,False,True,True,0.8
pyinvoke/invoke,True,False,False,False,False,0.2
chardet/chardet,False,False,False,False,False,0.0
kjd/idna,True,False,False,False,False,0.2
grpc/grpc,True,False,True,True,False,0.6
pallets/jinja,False,False,False,False,False,0.0
python-websockets/websockets,True,True,False,False,True,0.6
ansible/ansible,True,True,True,False,False,0.6
pallets/markupsafe,False,False,False,False,False,0.0
sqlalchemy/mako,False,False,False,False,True,0.2
lxml/lxml,True,False,False,False,True,0.4
html5lib/html5lib-python,False,False,False,False,False,0.0
scrapy/parsel,False,False,False,False,False,0.0
scrapy/cssselect,False,False,False,False,False,0.0
