repo_full_name,scorecard_score,sc_Code-Review,sc_Dangerous-Workflow,sc_Security-Policy,sc_Binary-Artifacts,sc_Maintained,sc_CII-Best-Practices,sc_Token-Permissions,sc_Vulnerabilities,sc_License,sc_Fuzzing,sc_Packaging,sc_Pinned-Dependencies,sc_Signed-Releases,sc_Branch-Protection,sc_SAST,sc_Dependency-Update-Tool,sc_CI-Tests,sc_Contributors
psf/requests,8.6,9.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,-1.0,10.0,,,
django/django,7.0,8.0,10.0,9.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,-1.0,0.0,-1.0,-1.0,0.0,,,
pallets/flask,6.0,2.0,10.0,9.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,8.0,3.0,0.0,,,
encode/httpx,6.0,8.0,10.0,10.0,10.0,1.0,0.0,0.0,9.0,10.0,10.0,-1.0,0.0,-1.0,-1.0,0.0,,,
aio-libs/aiohttp,7.2,8.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,10.0,10.0,0.0,1.0,-1.0,10.0,,,
tornadoweb/tornado,7.0,2.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,-1.0,-1.0,0.0,,,
bottlepy/bottle,3.8,3.0,10.0,0.0,10.0,5.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,
benoitc/gunicorn,5.9,0.0,10.0,10.0,10.0,10.0,0.0,0.0,5.0,9.0,10.0,10.0,0.0,-1.0,-1.0,0.0,,,
pallets/werkzeug,6.1,2.0,10.0,9.0,10.0,10.0,0.0,0.0,9.0,10.0,0.0,10.0,8.0,6.0,3.0,0.0,,,
falconry/falcon,5.3,7.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,-1.0,0.0,,,
sanic-org/sanic,5.3,5.0,0.0,9.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,-1.0,2.0,10.0,,,
flask-restful/flask-restful,4.1,8.0,-1.0,0.0,10.0,0.0,0.0,-1.0,10.0,10.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,,,
graphql-python/graphene,4.8,7.0,10.0,4.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,,,
encode/django-rest-framework,6.3,8.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,,,
strawberry-graphql/strawberry,5.4,5.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,-1.0,4.0,0.0,-1.0,10.0,,,
numpy/numpy,7.2,9.0,10.0,9.0,10.0,10.0,0.0,10.0,0.0,9.0,10.0,-1.0,3.0,0.0,3.0,9.0,10.0,10.0,10.0
scipy/scipy,6.7,8.0,-1.0,9.0,10.0,10.0,0.0,-1.0,10.0,10.0,10.0,-1.0,0.0,0.0,3.0,8.0,,,
matplotlib/matplotlib,8.3,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0,10.0,-1.0,6.0,-1.0,8.0,10.0,,,
pandas-dev/pandas,6.4,8.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,-1.0,0.0,0.0,-1.0,7.0,0.0,10.0,10.0
scikit-learn/scikit-learn,9.5,10.0,-1.0,10.0,10.0,10.0,0.0,-1.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,10.0,,,
statsmodels/statsmodels,5.4,5.0,10.0,0.0,10.0,10.0,0.0,0.0,5.0,10.0,0.0,-1.0,0.0,-1.0,-1.0,9.0,,,
mwaskom/seaborn,5.7,4.0,10.0,10.0,10.0,6.0,0.0,10.0,10.0,10.0,0.0,-1.0,2.0,0.0,0.0,2.0,,,
dmlc/xgboost,6.4,9.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,-1.0,0.0,0.0,-1.0,0.0,10.0,9.0,10.0
tensorflow/tensorflow,7.3,1.0,10.0,10.0,8.0,10.0,5.0,9.0,0.0,10.0,10.0,-1.0,1.0,-1.0,-1.0,9.0,10.0,9.0,10.0
catboost/catboost,4.5,0.0,10.0,10.0,9.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,,,
microsoft/LightGBM,6.2,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-1.0,5.0,0.0,8.0,,0.0,,
huggingface/tokenizers,5.0,8.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,-1.0,-1.0,0.0,,,
Lightning-AI/pytorch-lightning,5.5,10.0,10.0,6.0,10.0,10.0,0.0,0.0,8.0,10.0,0.0,-1.0,0.0,0.0,-1.0,0.0,,,
huggingface/transformers,4.5,9.0,0.0,10.0,10.0,10.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,-1.0,-1.0,0.0,,,
huggingface/datasets,5.8,3.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,,,
huggingface/accelerate,6.1,9.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,-1.0,-1.0,1.0,,,
keras-team/keras,7.7,10.0,10.0,10.0,10.0,10.0,0.0,9.0,0.0,10.0,10.0,10.0,0.0,-1.0,-1.0,0.0,10.0,10.0,10.0
huggingface/huggingface_hub,6.2,9.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,-1.0,0.0,-1.0,-1.0,7.0,,,
google/flax,6.5,6.0,10.0,10.0,10.0,10.0,0.0,0.0,4.0,10.0,0.0,10.0,7.0,-1.0,-1.0,4.0,,,
modin-project/modin,4.8,10.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,-1.0,-1.0,10.0,,,
dask/dask,6.0,5.0,10.0,9.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,-1.0,0.0,-1.0,0.0,0.0,,,
jupyter/notebook,4.3,4.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,-1.0,0.0,0.0,3.0,0.0,,,
pola-rs/polars,6.4,9.0,10.0,10.0,10.0,10.0,0.0,0.0,7.0,10.0,0.0,10.0,0.0,-1.0,-1.0,0.0,,,
jupyterlab/jupyterlab,5.4,10.0,10.0,10.0,10.0,10.0,2.0,0.0,0.0,9.0,0.0,-1.0,0.0,0.0,3.0,10.0,,,
